charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Clementine, raw
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 53.00, KCAL, 
"Fat", 0.31, G, 0%
"Protein", 0.81, G, 2%
"Carbohydrate", 13.34, G, 5%
"Alcohol, ethyl", 0.0, G, 
"Water", 85.17, G, 
"Caffeine", 0.00, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 10.58, G, 
"Fiber", 1.8, G, 6%
"Calcium, Ca", 37.00, MG, 3%
"Iron, Fe", 0.15, MG, 1%
"Magnesium, Mg", 12.00, MG, 3%
"Phosphorus, P", 20.00, MG, 3%
"Potassium, K", 166.00, MG, 4%
"Sodium, Na", 2.00, MG, 0%
"Zinc, Zn", 0.07, MG, 1%
"Copper, Cu", 0.042, MG, 5%
"Selenium, Se", 0.1, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 34.00, UG, 4%
"Carotene, beta", 155.00, UG, 
"Carotene, alpha", 101.00, UG, 
"Vitamin E", 0.20, MG, 1%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 407.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 138.00, UG, 
"Vitamin C", 26.7, MG, 30%
"Thiamin", 0.058, MG, 5%
"Riboflavin", 0.036, MG, 3%
"Niacin", 0.376, MG, 2%
"Vitamin B6", 0.078, MG, 6%
"Folate", 16.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 10.2, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 16.00, UG, 
"Folate, DFE", 16.00, UG, 4%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.039, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.002, G, 
"Hexadecanoic acid", 0.035, G, 
"Octadecanoic acid", 0.002, G, 
"Octadecenoic acid", 0.053, G, 
"Octadecadienoic acid", 0.048, G, 
"Octadecatrienoic acid", 0.018, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.007, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.060, G, 
"Polyunsaturated fatty acids", 0.065, G, 
"Tocopherol, alpha", 0.20, MG, 
"Net carbs", 11.54, g, 
# Downloaded from https://www.nutritionvalue.org 
